name,totalNum,newNum,deadNum,totalPopulation,deadRate,infecRate
美国,16549366,220298,305082,"32,676",1.84,5.064685
印度,9857029,30254,143019,"135,405",1.45,0.727966
巴西,6880127,43900,181123,"21,086",2.63,3.262889
俄罗斯,2629699,27651,46404,"14,396",1.76,1.826687
法国,2405255,13947,57671,"6,523",2.40,3.687345
英国,1835952,21555,64123,"6,657",3.49,2.757927
意大利,1825775,19902,64036,"5,929",3.51,3.079398
西班牙,1741439,7053,47624,"4,639",2.73,3.75391
阿根廷,1494602,5274,40668,"4,468",2.72,3.345125
哥伦比亚,1417072,8163,38866,"4,946",2.74,2.865087
德国,1336101,21792,21921,"8,229",1.64,1.623649
墨西哥,1241436,12057,113704,"13,075",9.16,0.949473
波兰,1135676,8976,22864,"3,810",2.01,2.980777
伊朗,1108269,7451,52196,"8,201",4.71,1.351383
秘鲁,980943,0,36544,"3,255",3.73,3.01365
土耳其,955766,32106,15751,"8,191",1.65,1.166849
乌克兰,918444,9605,15691,"4,400",1.71,2.087373
南非,852965,7882,23106,"5,739",2.71,1.486261
荷兰,623514,9979,10133,"1,708",1.63,3.65055
印度尼西亚,617820,6189,18819,"26,679",3.05,0.231575
比利时,605966,2807,17902,"1,149",2.95,5.273856
捷克,579079,3657,9535,-,1.65,
伊拉克,574634,1012,12579,"3,933",2.19,1.461058
智利,571919,2138,15886,"1,819",2.78,3.14414
罗马尼亚,556335,4435,13385,"1,958",2.41,2.841343
孟加拉,490533,1355,7052,-,1.44,
加拿大,458527,5984,13367,"3,695",2.92,1.240939
菲律宾,449400,1069,8733,"10,651",1.94,0.421932
巴基斯坦,438425,3369,8796,"20,081",2.01,0.218328
摩洛哥,397597,3033,6589,"3,619",1.66,1.098638
瑞士,373831,0,5984,854,1.60,4.377412
沙特阿拉伯,359888,139,6048,"3,355",1.68,1.072692
以色列,356250,2981,2990,845,0.84,4.215976
葡萄牙,344700,4413,5461,"1,029",1.58,3.349854
奥地利,322463,2641,4473,875,1.39,3.685291
瑞典,320098,0,7514,998,2.35,3.207395
匈牙利,280400,4153,6965,968,2.48,2.896694
塞尔维亚,261437,5679,2331,876,0.89,2.984441
约旦,257275,1816,3335,990,1.30,2.598737
尼泊尔,248423,830,1698,"2,962",0.68,0.8387
厄瓜多尔,201524,759,13874,"1,686",6.88,1.195279
巴拿马,190585,2806,3331,416,1.75,4.58137
格鲁吉亚,189726,2720,1790,390,0.94,4.864769
哈萨克斯坦,185513,956,2552,"1,840",1.38,1.008223
阿联酋,183755,0,609,954,0.33,1.926153
日本,181311,2392,2493,"12,718",1.37,0.142563
日本本土,180599,2392,2480,"12,718",1.37,0.142003
保加利亚,178952,1287,5626,703,3.14,2.545548
克罗地亚,175886,3363,2640,416,1.50,4.228029
阿塞拜疆,175874,4451,1922,992,1.09,1.772923
白俄罗斯,160295,1961,1263,945,0.79,1.696243
多米尼加,153585,1133,2360,-,1.54,
哥斯达黎加,150947,0,1895,495,1.26,3.049434
亚美尼亚,148325,1013,2486,293,1.68,5.062287
玻利维亚,147030,333,9014,"1,121",6.13,1.311597
科威特,146218,429,911,419,0.62,3.48969
黎巴嫩,145245,1540,1190,609,0.82,2.384975
卡塔尔,140961,134,240,269,0.17,5.240186
斯洛伐克,132984,5897,1175,544,0.88,2.444559
危地马拉,129099,558,4405,"1,724",3.41,0.748834
阿曼,126240,571,1471,482,1.17,2.619087
摩尔多瓦,125723,1459,2547,404,2.03,3.111955
希腊,123842,1194,3540,"1,114",2.86,1.111688
埃及,121089,478,6898,"9,937",5.70,0.121857
埃塞俄比亚,116297,515,1803,"10,667",1.55,0.109025
洪都拉斯,114043,335,2974,941,2.61,1.211934
突尼斯,110393,1289,3836,"1,165",3.47,0.947579
丹麦,110305,6197,941,575,0.85,1.918348
巴勒斯坦,109738,1639,978,505,0.89,2.17303
缅甸,108342,1127,2268,"5,385",2.09,0.201192
委内瑞拉,107177,462,949,"3,238",0.89,0.330998
波黑,101117,1574,3336,350,3.30,2.889057
斯洛文尼亚,96314,833,2063,208,2.14,4.630481
中国,95048,104,4757,"140,005",5.00,0.006789
立陶宛,93101,2849,815,287,0.88,3.243937
巴拉圭,92913,800,1937,689,2.08,1.34852
阿尔及利亚,91638,517,2584,"4,200",2.82,0.218186
肯尼亚,91526,548,1586,"5,095",1.73,0.179639
利比亚,90779,899,1299,647,1.43,1.403076
巴林,88965,145,348,156,0.39,5.702885
马来西亚,83475,1229,415,"3,204",0.50,0.260534
吉尔吉斯斯坦,77356,297,1307,613,1.69,1.261925
爱尔兰,75756,249,2123,480,2.80,1.57825
