name,totalNum,newNum,deadNum,totalPopulation,deadRate,infecRate
美国,15591709,208121,293398,"32,676",1.88,4.771609
印度,9735850,32080,141360,"135,405",1.45,0.719017
巴西,6674999,51088,178159,"21,086",2.67,3.165607
俄罗斯,2518551,25838,44220,"14,396",1.76,1.74948
法国,2363197,14138,56453,"6,523",2.39,3.622868
意大利,1757394,14837,61240,"5,929",3.48,2.964065
英国,1754911,12383,62130,"6,657",3.54,2.636189
西班牙,1715700,6255,46646,"4,639",2.72,3.698426
阿根廷,1469919,3610,40009,"4,468",2.72,3.289881
哥伦比亚,1384610,7510,38158,"4,946",2.76,2.799454
德国,1229269,19788,20061,"8,229",1.63,1.493825
墨西哥,1193255,11006,110874,"13,075",9.29,0.912623
波兰,1088346,12166,21160,"3,810",1.94,2.856551
伊朗,1072620,10223,51212,"8,201",4.77,1.307914
秘鲁,976621,2709,36401,"3,255",3.73,3.000372
土耳其,893630,33198,15314,"8,191",1.71,1.09099
乌克兰,867991,12937,14702,"4,400",1.69,1.972707
南非,821889,4011,22432,"5,739",2.73,1.432112
比利时,594572,1957,17507,"1,149",2.94,5.174691
印度尼西亚,592900,6058,18171,"26,679",3.06,0.222235
荷兰,586525,6624,9923,"1,708",1.69,3.433987
伊拉克,568138,0,12477,"3,933",2.20,1.444541
智利,563534,0,15680,"1,819",2.78,3.098043
捷克,556927,5857,9136,-,1.64,
罗马尼亚,532040,7365,12821,"1,958",2.41,2.717263
孟加拉,484104,2159,6930,-,1.43,
菲律宾,444164,1379,8677,"10,651",1.95,0.417016
加拿大,432743,6114,12887,"3,695",2.98,1.171158
巴基斯坦,426142,2963,8547,"20,081",2.01,0.212212
摩洛哥,384088,2900,6370,"3,619",1.66,1.06131
瑞士,363654,5086,5640,854,1.55,4.258244
沙特阿拉伯,359115,0,5989,"3,355",1.67,1.070387
以色列,349024,1527,2933,845,0.84,4.130462
葡萄牙,327976,0,5122,"1,029",1.56,3.187328
奥地利,311002,2932,4056,875,1.30,3.554309
瑞典,304793,7061,7296,998,2.39,3.054038
匈牙利,259588,3221,6280,968,2.42,2.681694
约旦,247131,3062,3162,990,1.28,2.496273
尼泊尔,244433,1056,1651,"2,962",0.68,0.82523
塞尔维亚,234027,0,2062,876,0.88,2.671541
厄瓜多尔,198752,508,13794,"1,686",6.94,1.178837
哈萨克斯坦,181721,944,2544,"1,840",1.40,0.987614
巴拿马,181166,1936,3241,416,1.79,4.354952
阿联酋,180150,1313,598,954,0.33,1.888365
格鲁吉亚,174383,4734,1614,390,0.93,4.471359
日本,170108,2851,2379,"12,718",1.40,0.133754
日本本土,169396,2851,2366,"12,718",1.40,0.133194
保加利亚,168165,3980,5156,703,3.07,2.392105
克罗地亚,159372,4520,2367,416,1.49,3.831058
阿塞拜疆,158555,4403,1755,992,1.11,1.598337
白俄罗斯,152453,1851,1230,945,0.81,1.613259
多米尼加,149630,492,2347,-,1.57,
