name,totalNum,newNum,deadNum,totalPopulation,deadRate,infecRate
美国,14772535,235272,285550,32676,1.93,4.520912902
印度,9608211,36652,139700,135405,1.45,0.709590562
巴西,6533968,46884,175964,21086,2.69,3.098723324
俄罗斯,2410462,28450,42228,14396,1.75,1.674397055
法国,2321703,11432,54859,6523,2.36,3.559256477
西班牙,1699145,5554,46252,4639,2.72,3.662739815
英国,1694806,16383,60714,6657,3.58,2.545900556
意大利,1688939,24110,58852,5929,3.48,2.848606848
阿根廷,1454631,6899,39512,4468,2.72,3.255664727
哥伦比亚,1352607,9285,37467,4946,2.77,2.734749292
德国,1159665,14020,18619,8229,1.61,1.409241706
墨西哥,1156770,12127,108863,13075,9.41,0.884718929
波兰,1054273,12427,19861,3810,1.88,2.767120735
伊朗,1028986,12151,50016,8201,4.86,1.254707962
秘鲁,970860,3785,36195,3255,3.73,2.982672811
乌克兰,822985,14157,13877,4400,1.69,1.870420455
南非,805804,4932,21963,5739,2.73,1.404084335
土耳其,765997,32736,14509,8191,1.89,0.935169088
比利时,587439,2582,17142,1149,2.92,5.112610966
印度尼西亚,569707,6027,17589,26679,3.09,0.213541362
伊拉克,562520,1898,12411,3933,2.21,1.430256801
荷兰,559561,6705,9743,1708,1.74,3.276118267
智利,557135,3237,15592,1819,2.8,3.062864211
捷克,542406,4743,8738,-,1.61,
罗马尼亚,508345,8072,12186,1958,2.4,2.59624617
孟加拉,475789,1798,6807,-,1.43,
菲律宾,438069,1724,8526,10651,1.95,0.411293775
巴基斯坦,413191,3119,8303,20081,2.01,0.205762163
加拿大,406189,5960,12519,3695,3.08,1.09929364
摩洛哥,372620,3996,6136,3619,1.65,1.029621442
沙特阿拉伯,358526,190,5954,3355,1.66,1.068631893
瑞士,344497,4382,5314,854,1.54,4.033922717
以色列,342101,341,2896,845,0.85,4.048532544
葡萄牙,312553,4935,4803,1029,1.54,3.037444121
奥地利,300689,3444,3757,875,1.25,3.436445714
瑞典,278912,6269,7067,998,2.53,2.794709419
匈牙利,243581,5525,5706,968,2.34,2.516332645
尼泊尔,239885,1024,1577,2962,0.66,0.809875084
约旦,234353,3116,2960,990,1.26,2.36720202
塞尔维亚,206940,7782,1891,876,0.91,2.362328767
厄瓜多尔,196482,598,13696,1686,6.97,1.165373665
哈萨克斯坦,178378,992,2484,1840,1.39,0.969445652
阿联酋,175276,1214,589,954,0.34,1.837274633
巴拿马,173607,2388,3154,416,1.82,4.173245192
日本,160859,2472,2218,12718,1.38,0.126481365
保加利亚,158807,3614,4650,703,2.93,2.258990043
格鲁吉亚,158154,5450,1462,390,0.92,4.055230769
克罗地亚,147454,4084,2102,416,1.43,3.544567308
多米尼加,146680,671,2343,-,1.6,
玻利维亚,145325,139,8987,1121,6.18,1.296387154
白俄罗斯,145279,1896,1198,945,0.82,1.537343915
科威特,143917,343,886,419,0.62,3.43477327
哥斯达黎加,143685,1180,1773,495,1.23,2.902727273
阿塞拜疆,142323,4323,1593,992,1.12,1.434707661
亚美尼亚,140959,1267,2309,293,1.64,4.810887372
卡塔尔,139783,140,239,269,0.17,5.196394052
黎巴嫩,134295,1478,1078,609,0.8,2.205172414
危地马拉,124805,752,4224,1724,3.38,0.723926914
阿曼,124329,0,1435,482,1.15,2.579439834
埃及,117583,427,6732,9937,5.73,0.118328469
斯洛伐克,115462,2070,981,544,0.85,2.122463235
摩尔多瓦,113829,1522,2384,404,2.09,2.817549505
希腊,113185,1648,2804,1114,2.48,1.016023339
埃塞俄比亚,112091,512,1734,10667,1.55,0.105082029
洪都拉斯,109760,616,2938,941,2.68,1.166418704
委内瑞拉,103877,329,913,3238,0.88,0.320806053
突尼斯,101900,2620,3481,1165,3.42,0.874678112
缅甸,98047,1527,2081,5385,2.12,0.18207428
巴勒斯坦,96098,1422,812,505,0.84,1.902930693
