name,totalNum,newNum,deadNum,totalPopulation,deadRate,infecRate
美国,16295458,246530,302750,"32,676",1.86,4.986981
印度,9826775,30006,142628,"135,405",1.45,0.725732
巴西,6836227,54428,180437,"21,086",2.64,3.242069
俄罗斯,2602048,27729,45923,"14,396",1.76,1.80748
法国,2405210,13567,57671,"6,523",2.40,3.687276
英国,1814397,21785,63603,"6,657",3.51,2.725548
意大利,1805873,18726,63387,"5,929",3.51,3.045831
西班牙,1741439,7053,47624,"4,639",2.73,3.75391
阿根廷,1489328,7112,40606,"4,468",2.73,3.333321
哥伦比亚,1408909,8998,38669,"4,946",2.74,2.848583
德国,1314309,27217,21606,"8,229",1.64,1.597167
墨西哥,1229379,12253,113019,"13,075",9.19,0.940252
波兰,1126700,11499,22676,"3,810",2.01,2.957218
伊朗,1100818,8411,51949,"8,201",4.72,1.342297
秘鲁,980943,1832,36544,"3,255",3.73,3.01365
土耳其,955766,32106,15751,"8,191",1.65,1.166849
乌克兰,908839,13219,15528,"4,400",1.71,2.065543
南非,845083,8319,22952,"5,739",2.72,1.472527
荷兰,613535,9224,10104,"1,708",1.65,3.592125
印度尼西亚,611631,6388,18653,"26,679",3.05,0.229256
比利时,603159,2762,17792,"1,149",2.95,5.249426
捷克,575422,6217,9450,-,1.64,
伊拉克,573622,1022,12565,"3,933",2.19,1.458485
智利,569781,1807,15846,"1,819",2.78,3.132386
罗马尼亚,551900,6333,13264,"1,958",2.40,2.818693
孟加拉,489178,1329,7020,-,1.44,
加拿大,452543,6092,13267,"3,695",2.93,1.224744
菲律宾,448331,1292,8730,"10,651",1.95,0.420929
巴基斯坦,435056,2729,8724,"20,081",2.01,0.216651
摩洛哥,394564,3035,6542,"3,619",1.66,1.090257
瑞士,373831,0,5970,854,1.60,4.377412
沙特阿拉伯,359749,166,6036,"3,355",1.68,1.072277
以色列,353269,0,2969,845,0.84,4.180698
葡萄牙,340287,0,5373,"1,029",1.58,3.306968
瑞典,320098,0,7514,998,2.35,3.207395
奥地利,319822,3241,4415,875,1.38,3.655109
匈牙利,276247,5047,6784,968,2.46,2.853791
塞尔维亚,255758,0,2227,876,0.87,2.919612
约旦,255459,2338,3286,990,1.29,2.580394
尼泊尔,247593,899,1689,"2,962",0.68,0.835898
厄瓜多尔,200765,386,13858,"1,686",6.90,1.190777
巴拿马,187779,2355,3309,416,1.76,4.513918
格鲁吉亚,187006,3907,1744,390,0.93,4.795026
哈萨克斯坦,184557,927,2551,"1,840",1.38,1.003027
阿联酋,183755,1154,609,954,0.33,1.926153
日本,178919,3037,2475,"12,718",1.38,0.140682
日本本土,178207,3037,2462,"12,718",1.38,0.140122
保加利亚,177665,3097,5562,703,3.13,2.52724
克罗地亚,172523,4135,2562,416,1.49,4.147188
阿塞拜疆,167155,0,1840,992,1.10,1.68503
白俄罗斯,158334,1975,1254,945,0.79,1.675492
多米尼加,152452,731,2359,-,1.55,
哥斯达黎加,150947,1132,1895,495,1.26,3.049434
亚美尼亚,147312,995,2462,293,1.67,5.027713
玻利维亚,146697,312,9013,"1,121",6.14,1.308626
科威特,145789,294,910,419,0.62,3.479451
黎巴嫩,143705,1518,1182,609,0.82,2.359688
卡塔尔,140827,147,240,269,0.17,5.235204
危地马拉,128541,755,4376,"1,724",3.40,0.745597
斯洛伐克,127087,0,1122,544,0.88,2.336158
阿曼,125669,0,1463,482,1.16,2.607241
摩尔多瓦,124264,1579,2521,404,2.03,3.075842
希腊,122648,1395,3472,"1,114",2.83,1.100969
埃及,120611,464,6877,"9,937",5.70,0.121376
埃塞俄比亚,115782,422,1791,"10,667",1.55,0.108542
洪都拉斯,113708,501,2971,941,2.61,1.208374
突尼斯,109104,1290,3801,"1,165",3.48,0.936515
巴勒斯坦,108099,1477,961,505,0.89,2.140574
委内瑞拉,106715,435,944,"3,238",0.88,0.329571
缅甸,105863,0,2220,"5,385",2.10,0.196589
丹麦,104103,0,927,575,0.89,1.810487
波黑,99543,940,3250,350,3.26,2.844086
斯洛文尼亚,95481,1747,2041,208,2.14,4.590433
中国,94927,109,4755,"140,005",5.01,0.00678
巴拉圭,92113,1155,1927,689,2.09,1.336909
阿尔及利亚,91121,542,2575,"4,200",2.83,0.216955
肯尼亚,90978,673,1582,"5,095",1.74,0.178563
立陶宛,90252,3303,791,287,0.88,3.144669
利比亚,89880,0,1278,647,1.42,1.389181
巴林,88820,188,347,156,0.39,5.69359
马来西亚,82246,1937,411,"3,204",0.50,0.256698
吉尔吉斯斯坦,77059,341,1307,613,1.70,1.25708
爱尔兰,75507,304,2120,480,2.81,1.573063
乌兹别克斯坦,74811,147,612,"3,236",0.82,0.231184
尼日利亚,72140,796,1190,"19,587",1.65,0.036831
北马其顿,72044,1161,2077,-,2.88,
新加坡,58313,8,29,579,0.05,1.007133
加纳,52738,0,326,"2,946",0.62,0.179016
阿富汗,48229,113,1956,"3,637",4.06,0.132607
阿尔巴尼亚,46863,802,977,293,2.08,1.59942
韩国,41736,950,578,"5,116",1.38,0.081579
萨尔瓦多,41163,422,1193,641,2.90,0.642168
卢森堡,40755,718,392,59,0.96,6.907627
黑山,40546,381,569,62,1.40,6.539677
挪威,40439,245,387,535,0.96,0.755869
斯里兰卡,32007,858,147,"2,095",0.46,0.152778
芬兰,30450,377,453,554,1.49,0.549639
澳大利亚,28025,13,908,"2,477",3.24,0.113141
乌干达,26369,639,220,"4,427",0.83,0.059564
喀麦隆,25087,124,443,"2,467",1.77,0.10169
拉脱维亚,25046,660,324,192,1.29,1.304479
科特迪瓦,21618,28,133,"2,490",0.62,0.086819
苏丹,20844,376,1340,"4,151",6.43,0.050214
赞比亚,18217,56,366,"1,760",2.01,0.103506
爱沙尼亚,17713,757,148,130,0.84,1.362538
马达加斯加,17587,114,259,"2,626",1.47,0.066973
塞内加尔,17061,168,349,"1,629",2.05,0.104733
莫桑比克,16680,159,139,"3,052",0.83,0.054653
纳米比亚,16269,496,160,258,0.98,0.630581
安哥拉,16061,136,365,"3,077",2.27,0.052197
刚果（金）,14342,173,352,-,2.45,
塞浦路斯,13649,0,70,118,0.51,1.156695
几内亚,13398,30,79,"1,305",0.59,0.102667
马尔代夫,13326,18,48,44,0.36,3.028636
塔吉克斯坦,12588,0,88,910,0.70,0.13833
博茨瓦纳,12501,0,37,233,0.30,0.536524
牙买加,11509,0,270,289,2.35,0.398235
佛得角,11262,59,110,55,0.98,2.047636
津巴布韦,11162,81,306,"1,691",2.74,0.066008
马耳他,11101,121,166,43,1.50,2.581628
毛里塔尼亚,10501,233,210,-,2.00,
海地,9465,31,233,"1,111",2.46,0.085194
加蓬,9330,30,63,206,0.68,0.452913
古巴,9267,86,136,"1,148",1.47,0.080723
伯利兹,8965,160,185,38,2.06,2.359211
叙利亚,8911,124,491,"1,828",5.51,0.048747
乌拉圭,8849,362,90,346,1.02,0.255751
巴哈马,7623,38,163,39,2.14,1.954615
安道尔,7236,46,78,7,1.08,10.337143
特立尼达和多巴哥,6852,19,122,137,1.78,0.500146
斯威士兰,6685,52,126,139,1.88,0.480935
卢旺达,6428,79,54,"1,250",0.84,0.051424
马拉维,6055,2,186,"1,916",3.07,0.031602
刚果（布）,6049,0,99,-,1.64,
尼加拉瓜,5887,0,162,628,2.75,0.093742
圭亚那,5839,28,154,78,2.64,0.74859
吉布提,5725,8,61,97,1.07,0.590206
马里,5649,73,185,"1,910",3.27,0.029576
冰岛,5552,13,28,33,0.50,1.682424
苏里南,5339,2,117,56,2.19,0.953393
赤道几内亚,5185,2,85,131,1.64,0.395802
中非共和国,4936,9,63,473,1.28,0.104355
索马里,4579,0,121,"1,518",2.64,0.030165
泰国,4192,12,60,"6,918",1.43,0.00606
冈比亚,3779,0,123,216,3.25,0.174954
布基纳法索,3579,0,69,"1,975",1.93,0.018122
多哥,3202,20,66,799,2.06,0.040075
贝宁,3090,0,44,"1,148",1.42,0.026916
几内亚比绍,2444,0,44,190,1.80,0.128632
塞拉利昂,2438,3,75,771,3.08,0.031621
莱索托,2250,36,44,226,1.96,0.099558
尼日尔,2160,34,80,"2,231",3.70,0.009682
新西兰,2092,0,25,474,1.20,0.044135
也门,2082,1,606,"2,891",29.11,0.007202
圣马力诺,1932,24,51,3,2.64,6.44
乍得,1745,6,102,"1,535",5.85,0.011368
利比里亚,1676,0,83,485,4.95,0.034557
列支敦士登公国,1482,16,20,-,1.35,
