name,totalNum,newNum,deadNum,totalPopulation,deadRate,infecRate
美国,14108490,182172,276976,"32,676",1.96,4.317692
印度,9499413,36604,138122,"135,405",1.45,0.701556
巴西,6386787,50909,173817,"21,086",2.72,3.028923
俄罗斯,2327105,25043,40630,"14,396",1.75,1.616494
法国,2275429,413,52821,"6,523",2.32,3.488317
西班牙,1673202,8257,45511,"4,639",2.72,3.606816
英国,1647230,13486,59148,"6,657",3.59,2.474433
意大利,1620901,19347,56361,"5,929",3.48,2.733852
阿根廷,1432570,8037,38928,"4,468",2.72,3.206289
哥伦比亚,1324792,7986,36934,"4,946",2.79,2.678512
墨西哥,1122362,8819,106765,"13,075",9.51,0.858403
德国,1095303,18667,17227,"8,229",1.57,1.331028
波兰,1013747,13823,18208,"3,810",1.80,2.660753
伊朗,989572,13621,48990,"8,201",4.95,1.206648
秘鲁,963605,1075,35966,"3,255",3.73,2.960384
南非,792299,2295,21644,"5,739",2.73,1.380552
乌克兰,778560,13443,13140,"4,400",1.69,1.769455
土耳其,668957,30110,13936,"8,191",2.08,0.816698
比利时,579212,1867,16786,"1,149",2.90,5.04101
伊拉克,554767,0,12306,"3,933",2.22,1.410544
智利,553898,1034,15438,"1,819",2.79,3.045069
印度尼西亚,549508,5533,17199,"26,679",3.13,0.20597
荷兰,541050,5072,9584,"1,708",1.77,3.16774
捷克,528474,5176,8407,-,1.59,
罗马尼亚,484550,4916,11665,"1,958",2.41,2.474719
孟加拉,469423,2198,6713,-,1.43,
菲律宾,434357,1432,8436,"10,651",1.94,0.407809
巴基斯坦,403311,2829,8166,"20,081",2.02,0.200842
加拿大,387052,5141,12229,"3,695",3.16,1.047502
摩洛哥,359844,3508,5915,"3,619",1.64,0.994319
沙特阿拉伯,357872,249,5919,"3,355",1.65,1.066683
以色列,338748,1326,2881,845,0.85,4.008852
瑞士,335660,4786,4991,854,1.49,3.930445
葡萄牙,300462,2401,4577,"1,029",1.52,2.919942
奥地利,289461,7005,3446,875,1.19,3.308126
瑞典,266158,5400,6972,998,2.62,2.666914
尼泊尔,236246,2794,1538,"2,962",0.65,0.797589
匈牙利,225209,4136,5142,968,2.28,2.326539
约旦,223617,0,2802,990,1.25,2.258758
厄瓜多尔,193673,988,13501,"1,686",6.97,1.148713
塞尔维亚,191356,7919,1704,876,0.89,2.184429
哈萨克斯坦,175565,43217,2434,"1,840",1.39,0.954158
阿联酋,171434,1285,580,954,0.34,1.797002
巴拿马,167311,1505,3098,416,1.85,4.021899
日本,154115,2427,2150,"12,718",1.40,0.121179
日本本土,153403,2427,2137,"12,718",1.39,0.120619
保加利亚,148775,3475,4188,703,2.81,2.116287
玻利维亚,144810,102,8963,"1,121",6.19,1.291793
多米尼加,144302,314,2333,-,1.62,
格鲁吉亚,143376,4033,1342,390,0.94,3.676308
科威特,143260,268,882,419,0.62,3.419093
哥斯达黎加,140172,534,1731,495,1.23,2.831758
白俄罗斯,139908,1689,1174,945,0.84,1.480508
卡塔尔,139256,255,239,269,0.17,5.176803
亚美尼亚,137231,1264,2228,293,1.62,4.683652
克罗地亚,134881,3539,1916,416,1.42,3.242332
阿塞拜疆,129544,3942,1470,992,1.13,1.305887
黎巴嫩,129455,1511,1033,609,0.80,2.125698
阿曼,124145,237,1430,482,1.15,2.575622
危地马拉,122774,712,4178,"1,724",3.40,0.712146
埃及,116303,392,6666,"9,937",5.73,0.11704
埃塞俄比亚,110554,480,1709,"10,667",1.55,0.103641
斯洛伐克,109226,2043,898,544,0.82,2.007831
摩尔多瓦,108863,1499,2323,404,2.13,2.694629
洪都拉斯,108253,0,2918,941,2.70,1.150404
希腊,107470,2199,2517,"1,114",2.34,0.964722
委内瑞拉,102621,227,901,"3,238",0.88,0.316927
突尼斯,98072,1303,3311,"1,165",3.38,0.84182
中国,93781,101,4751,"140,005",5.07,0.006698
缅甸,93600,1411,1998,"5,385",2.13,0.173816
波黑,90378,2477,2773,350,3.07,2.582229
巴勒斯坦,90192,2188,763,505,0.85,1.78598
巴林,87137,181,341,156,0.39,5.585705
肯尼亚,84169,551,1474,"5,095",1.75,0.165199
阿尔及利亚,84152,953,2447,"4,200",2.91,0.200362
利比亚,84087,670,1200,647,1.43,1.299645
丹麦,84056,1586,852,575,1.01,1.461843
巴拉圭,83479,1055,1771,689,2.12,1.211597
斯洛文尼亚,79563,2457,1547,208,1.94,3.825144
吉尔吉斯斯坦,73513,335,1277,613,1.74,1.199233
乌兹别克斯坦,73335,190,611,"3,236",0.83,0.226622
爱尔兰,72798,254,2069,480,2.84,1.516625
马来西亚,68020,851,365,"3,204",0.54,0.212297
尼日利亚,67838,281,1176,"19,587",1.73,0.034634
北马其顿,62945,1067,1792,-,2.85,
立陶宛,62515,0,519,287,0.83,2.178223
新加坡,58230,2,29,579,0.05,1.005699
加纳,51667,0,323,"2,946",0.63,0.17538
阿富汗,46980,263,1822,"3,637",3.88,0.129172
萨尔瓦多,39130,0,1129,641,2.89,0.610452
阿尔巴尼亚,39014,832,822,293,2.11,1.331536
挪威,36591,273,334,535,0.91,0.683944
黑山,35849,584,504,62,1.41,5.782097
韩国,35163,511,526,"5,116",1.50,0.068731
卢森堡,35129,451,330,59,0.94,5.954068
澳大利亚,27923,11,908,"2,477",3.25,0.112729
芬兰,25882,420,408,554,1.58,0.467184
斯里兰卡,24882,895,122,"2,095",0.49,0.118768
喀麦隆,24487,42,441,"2,467",1.80,0.099258
科特迪瓦,21334,3,132,"2,490",0.62,0.085679
乌干达,21035,576,205,"4,427",0.97,0.047515
拉脱维亚,18377,690,224,192,1.22,0.957135
苏丹,18045,235,1255,"4,151",6.95,0.043471
赞比亚,17700,35,357,"1,760",2.02,0.100568
马达加斯加,17341,0,251,"2,626",1.45,0.066036
塞内加尔,16173,66,334,"1,629",2.07,0.099282
莫桑比克,15770,69,131,"3,052",0.83,0.051671
安哥拉,15251,112,350,"3,077",2.29,0.049565
纳米比亚,14416,36,151,258,1.05,0.55876
几内亚,13143,24,76,"1,305",0.58,0.100713
马尔代夫,13049,38,47,44,0.36,2.965682
爱沙尼亚,13019,522,122,130,0.94,1.001462
刚果（金）,12859,87,335,-,2.61,
塔吉克斯坦,12231,37,86,910,0.70,0.134407
塞浦路斯,10883,318,49,118,0.45,0.922288
佛得角,10816,55,106,55,0.98,1.966545
牙买加,10810,47,258,289,2.39,0.374048
博茨瓦纳,10742,0,34,233,0.32,0.46103
津巴布韦,10129,95,277,"1,691",2.73,0.059899
马耳他,10101,126,146,43,1.45,2.34907
海地,9296,2,233,"1,111",2.51,0.083672
加蓬,9214,0,60,206,0.65,0.447282
毛里塔尼亚,8710,109,177,-,2.03,
古巴,8381,97,136,"1,148",1.62,0.073005
叙利亚,7973,86,422,"1,828",5.29,0.043616
巴哈马,7543,2,163,39,2.16,1.934103
安道尔,6790,45,76,7,1.12,9.7
特立尼达和多巴哥,6685,16,120,137,1.80,0.487956
斯威士兰,6442,23,122,139,1.89,0.463453
马拉维,6028,0,185,"1,916",3.07,0.031461
乌拉圭,6024,167,78,346,1.29,0.174104
卢旺达,5948,14,49,"1,250",0.82,0.047584
伯利兹,5854,0,148,38,2.53,1.540526
尼加拉瓜,5838,54,161,628,2.76,0.092962
刚果（布）,5774,0,94,-,1.63,
吉布提,5680,0,61,97,1.07,0.585567
圭亚那,5423,17,151,78,2.78,0.695256
冰岛,5413,0,27,33,0.50,1.640303
苏里南,5319,7,117,56,2.20,0.949821
赤道几内亚,5156,3,85,131,1.65,0.393588
中非共和国,4918,5,63,473,1.28,0.103975
