name,totalNum,newNum,deadNum,totalPopulation,deadRate,infecRate
美国,16039393,217779,299692,"32,676",1.87,4.908616
印度,9796769,29398,142186,"135,405",1.45,0.723516
巴西,6781799,53347,179765,"21,086",2.65,3.216257
俄罗斯,2574319,28206,45370,"14,396",1.76,1.788218
法国,2391643,13732,57044,"6,523",2.39,3.666477
英国,1792612,21057,63179,"6,657",3.52,2.692823
意大利,1787147,16998,62626,"5,929",3.50,3.014247
西班牙,1734386,4595,47344,"4,639",2.73,3.738707
阿根廷,1482216,6994,40431,"4,468",2.73,3.317404
哥伦比亚,1399911,7778,38484,"4,946",2.75,2.83039
德国,1287092,28823,21094,"8,229",1.64,1.564093
墨西哥,1217126,11897,112326,"13,075",9.23,0.93088
波兰,1115201,13105,22174,"3,810",1.99,2.927037
伊朗,1092407,9384,51727,"8,201",4.74,1.332041
秘鲁,979111,2490,36499,"3,255",3.73,3.008022
土耳其,955766,30424,15751,"8,191",1.65,1.166849
乌克兰,895620,13893,15278,"4,400",1.71,2.0355
南非,836764,8166,22747,"5,739",2.72,1.458031
印度尼西亚,605243,6310,18511,"26,679",3.06,0.226861
荷兰,604311,8948,10049,"1,708",1.66,3.538121
比利时,600397,2754,17692,"1,149",2.95,5.225387
伊拉克,572600,1347,12549,"3,933",2.19,1.455886
捷克,569205,5872,9341,-,1.64,
智利,567974,1534,15782,"1,819",2.78,3.122452
罗马尼亚,545567,6460,13116,"1,958",2.40,2.786348
孟加拉,487849,1884,6986,-,1.43,
菲律宾,447039,1499,8709,"10,651",1.95,0.419716
加拿大,445828,6066,13130,"3,695",2.95,1.206571
巴基斯坦,432327,3047,8653,"20,081",2.00,0.215292
摩洛哥,391529,3345,6492,"3,619",1.66,1.081871
瑞士,373831,5136,5867,854,1.57,4.377412
沙特阿拉伯,359583,309,6023,"3,355",1.67,1.071782
以色列,353269,1690,2969,845,0.84,4.180698
葡萄牙,335207,3134,5278,"1,029",1.57,3.2576
瑞典,320098,7370,7514,998,2.35,3.207395
奥地利,316581,2893,4289,875,1.35,3.618069
匈牙利,271200,6197,6622,968,2.44,2.801653
塞尔维亚,255758,6534,2227,876,0.87,2.919612
约旦,253121,2902,3250,990,1.28,2.556778
尼泊尔,246694,1044,1674,"2,962",0.68,0.832863
厄瓜多尔,200379,1151,13850,"1,686",6.91,1.188488
巴拿马,185424,2447,3287,416,1.77,4.457308
哈萨克斯坦,183630,973,2550,"1,840",1.39,0.997989
格鲁吉亚,183099,4146,1694,390,0.93,4.694846
阿联酋,182601,1196,607,954,0.33,1.914057
日本,175882,2794,2458,"12,718",1.40,0.138294
日本本土,175170,2794,2445,"12,718",1.40,0.137734
保加利亚,174568,3075,5405,703,3.10,2.483186
克罗地亚,168388,4396,2484,416,1.48,4.047788
阿塞拜疆,167155,4381,1840,992,1.10,1.68503
白俄罗斯,154392,0,1246,945,0.81,1.633778
多米尼加,151721,1560,2358,-,1.55,
哥斯达黎加,149815,1127,1882,495,1.26,3.026566
玻利维亚,146385,325,9008,"1,121",6.15,1.305843
亚美尼亚,146317,1077,2445,293,1.67,4.993754
科威特,145495,291,910,419,0.63,3.472434
黎巴嫩,142187,1778,1170,609,0.82,2.334762
卡塔尔,140680,164,240,269,0.17,5.22974
危地马拉,127786,659,4345,"1,724",3.40,0.741218
斯洛伐克,127087,2166,1122,544,0.88,2.336158
阿曼,125669,0,1463,482,1.16,2.607241
摩尔多瓦,122685,1715,2500,404,2.04,3.036757
希腊,121253,1533,3370,"1,114",2.78,1.088447
埃及,120147,445,6854,"9,937",5.70,0.120909
埃塞俄比亚,115360,526,1779,"10,667",1.54,0.108147
洪都拉斯,113207,415,2968,941,2.62,1.20305
突尼斯,107814,958,3758,"1,165",3.49,0.925442
巴勒斯坦,106622,1743,931,505,0.87,2.111327
委内瑞拉,106280,428,938,"3,238",0.88,0.328227
缅甸,105863,1376,2220,"5,385",2.10,0.196589
丹麦,104103,3076,927,575,0.89,1.810487
波黑,98603,1286,3199,350,3.24,2.817229
中国,94837,133,4755,"140,005",5.01,0.006774
斯洛文尼亚,93734,1812,1998,208,2.13,4.506442
巴拉圭,90958,812,1914,689,2.10,1.320145
阿尔及利亚,90579,565,2564,"4,200",2.83,0.215664
肯尼亚,90305,644,1568,"5,095",1.74,0.177242
利比亚,89880,697,1278,647,1.42,1.389181
巴林,88632,137,347,156,0.39,5.681538
立陶宛,86949,3066,764,287,0.88,3.029582
马来西亚,80309,1810,402,"3,204",0.50,0.250652
吉尔吉斯斯坦,76718,327,1307,613,1.70,1.251517
爱尔兰,75203,303,2117,480,2.82,1.566729
乌兹别克斯坦,74664,166,611,"3,236",0.82,0.230729
尼日利亚,71344,675,1190,"19,587",1.67,0.036424
北马其顿,70883,929,2051,-,2.89,
新加坡,58305,8,29,579,0.05,1.006995
加纳,52738,0,326,"2,946",0.62,0.179016
阿富汗,48116,63,1945,"3,637",4.04,0.132296
阿尔巴尼亚,46061,873,965,293,2.10,1.572048
韩国,40786,688,572,"5,116",1.40,0.079722
萨尔瓦多,40741,0,1186,641,2.91,0.635585
黑山,40165,558,566,62,1.41,6.478226
卢森堡,40037,1561,384,59,0.96,6.785932
挪威,40023,255,387,535,0.97,0.748093
斯里兰卡,30613,238,146,"2,095",0.48,0.146124
芬兰,30073,501,442,554,1.47,0.542834
澳大利亚,28012,12,908,"2,477",3.24,0.113088
乌干达,25730,671,220,"4,427",0.86,0.058121
喀麦隆,24963,0,443,"2,467",1.77,0.101188
拉脱维亚,24386,680,319,192,1.31,1.270104
科特迪瓦,21590,43,133,"2,490",0.62,0.086707
苏丹,20468,0,1319,"4,151",6.44,0.049309
赞比亚,18161,70,365,"1,760",2.01,0.103188
马达加斯加,17473,0,255,"2,626",1.46,0.066538
爱沙尼亚,16956,358,142,130,0.84,1.304308
塞内加尔,16893,127,345,"1,629",2.04,0.103702
莫桑比克,16521,81,139,"3,052",0.84,0.054132
安哥拉,15925,121,362,"3,077",2.27,0.051755
纳米比亚,15773,0,158,258,1.00,0.611357
刚果（金）,14169,173,350,-,2.47,
塞浦路斯,13649,363,70,118,0.51,1.156695
几内亚,13368,43,79,"1,305",0.59,0.102437
马尔代夫,13308,34,47,44,0.35,3.024545
塔吉克斯坦,12588,0,88,910,0.70,0.13833
博茨瓦纳,12501,443,37,233,0.30,0.536524
牙买加,11443,74,270,289,2.36,0.395952
佛得角,11203,11,109,55,0.97,2.036909
津巴布韦,11081,74,305,"1,691",2.75,0.065529
马耳他,10980,96,166,43,1.51,2.553488
毛里塔尼亚,10268,163,210,-,2.05,
海地,9434,0,233,"1,111",2.47,0.084914
加蓬,9300,0,62,206,0.67,0.451456
古巴,9181,75,136,"1,148",1.48,0.079974
伯利兹,8805,286,183,38,2.08,2.317105
叙利亚,8787,112,476,"1,828",5.42,0.048069
乌拉圭,8487,383,90,346,1.06,0.245289
巴哈马,7585,0,163,39,2.15,1.944872
安道尔,7190,28,78,7,1.08,10.271429
特立尼达和多巴哥,6833,25,122,137,1.79,0.498759
斯威士兰,6633,21,126,139,1.90,0.477194
卢旺达,6349,71,53,"1,250",0.83,0.050792
马拉维,6053,2,186,"1,916",3.07,0.031592
刚果（布）,6049,0,99,-,1.64,
尼加拉瓜,5887,0,162,628,2.75,0.093742
圭亚那,5811,79,154,78,2.65,0.745
吉布提,5717,0,61,97,1.07,0.589381
马里,5576,107,184,"1,910",3.30,0.029194
冰岛,5539,15,28,33,0.51,1.678485
苏里南,5337,4,117,56,2.19,0.953036
赤道几内亚,5183,0,85,131,1.64,0.395649
中非共和国,4927,0,63,473,1.28,0.104165
索马里,4579,0,121,"1,518",2.64,0.030165
泰国,4180,11,60,"6,918",1.44,0.006042
冈比亚,3779,3,123,216,3.25,0.174954
布基纳法索,3579,110,69,"1,975",1.93,0.018122
多哥,3182,31,66,799,2.07,0.039825
贝宁,3090,0,44,"1,148",1.42,0.026916
几内亚比绍,2444,0,44,190,1.80,0.128632
塞拉利昂,2435,1,74,771,3.04,0.031582
莱索托,2214,36,44,226,1.99,0.097965
尼日尔,2126,48,80,"2,231",3.76,0.009529
新西兰,2092,4,25,474,1.20,0.044135
也门,2081,2,606,"2,891",29.12,0.007198
圣马力诺,1908,74,50,3,2.62,6.36
乍得,1739,7,102,"1,535",5.87,0.011329
利比里亚,1676,0,83,485,4.95,0.034557
列支敦士登公国,1466,25,20,-,1.36,
越南,1391,6,35,"9,649",2.52,0.001442
蒙古,905,7,0,312,-,0.029006
布隆迪,721,1,1,"1,121",0.14,0.006432
钻石号邮轮,712,0,13,0.37,1.83,0.192432
巴布亚新几内亚,684,0,7,841,1.02,0.008133
摩纳哥,657,2,3,3,0.46,2.19
厄立特里亚,656,0,0,518,-,0.012664
科摩罗,617,0,7,83,1.13,0.074337
毛里求斯,515,0,10,126,1.94,0.040873
坦桑尼亚,509,0,21,"5,909",4.13,0.000861
不丹,434,1,0,81,-,0.05358
柬埔寨,357,1,0,"1,624",-,0.002198
巴巴多斯,291,1,7,28,2.41,0.103929
圣卢西亚,270,0,2,-,0.74,
塞舌尔,187,3,0,9,-,0.207778
文莱,152,0,3,43,1.97,0.035349
安提瓜和巴布达,146,0,4,10,2.74,0.146
