name,totalNum,newNum,deadNum,totalPopulation,deadRate,infecRate
美国,16737267,187901,306459,"32,676",1.83,5.12219
印度,9884100,27071,143355,"135,405",1.45,0.729966
巴西,6901952,21825,181402,"21,086",2.63,3.273239
俄罗斯,2656601,26902,46846,"14,396",1.76,1.845374
法国,2430612,25357,58015,"6,523",2.39,3.726218
英国,1854490,18538,64267,"6,657",3.47,2.785774
意大利,1843712,17937,64520,"5,929",3.50,3.109651
土耳其,1836728,26919,16417,"8,191",0.89,2.242373
西班牙,1741439,7053,47624,"4,639",2.73,3.75391
阿根廷,1498160,3558,40766,"4,468",2.72,3.353089
哥伦比亚,1425774,8702,39053,"4,946",2.74,2.882681
德国,1350810,14709,22103,"8,229",1.64,1.641524
墨西哥,1250044,8608,113953,"13,075",9.12,0.956057
波兰,1140572,4896,22960,"3,810",2.01,2.993627
伊朗,1115770,7501,52447,"8,201",4.70,1.360529
秘鲁,980943,0,36677,"3,255",3.74,3.01365
乌克兰,925321,6877,15792,"4,400",1.71,2.103002
南非,860964,7999,23276,"5,739",2.70,1.500199
荷兰,632024,8510,10168,"1,708",1.61,3.700375
印度尼西亚,623309,5489,18956,"26,679",3.04,0.233633
比利时,608137,2171,17951,"1,149",2.95,5.29275
捷克,581079,2000,9609,-,1.65,
伊拉克,575972,1338,12603,"3,933",2.19,1.46446
智利,571919,0,15886,"1,819",2.78,3.14414
罗马尼亚,559587,3252,13494,"1,958",2.41,2.857952
孟加拉,492332,1799,7089,-,1.44,
加拿大,464443,5916,13451,"3,695",2.90,1.25695
菲律宾,450733,1333,8757,"10,651",1.94,0.423184
巴基斯坦,440787,2362,8832,"20,081",2.00,0.219505
摩洛哥,399609,2012,6624,"3,619",1.66,1.104197
瑞士,384557,10726,6060,854,1.58,4.503009
沙特阿拉伯,359888,0,6059,"3,355",1.68,1.072692
以色列,358293,2043,3003,845,0.84,4.240154
葡萄牙,348744,4044,5559,"1,029",1.59,3.389155
奥地利,325051,2588,4530,875,1.39,3.714869
瑞典,320098,0,7514,998,2.35,3.207395
匈牙利,283870,3470,7130,968,2.51,2.932541
塞尔维亚,266432,0,2331,876,0.87,3.041461
约旦,259614,2339,3365,990,1.30,2.622364
尼泊尔,249244,821,1716,"2,962",0.69,0.841472
厄瓜多尔,202110,586,13875,"1,686",6.87,1.198754
巴拿马,193007,2422,3356,416,1.74,4.639591
格鲁吉亚,191063,1337,1839,390,0.96,4.899051
哈萨克斯坦,186277,764,2552,"1,840",1.37,1.012375
阿联酋,186041,2286,618,954,0.33,1.950115
日本,182600,1289,2520,"12,718",1.38,0.143576
日本本土,181888,1289,2507,"12,718",1.38,0.143016
保加利亚,179449,497,5688,703,3.17,2.552617
克罗地亚,177358,1472,2705,416,1.53,4.263413
阿塞拜疆,175874,0,1922,992,1.09,1.772923
白俄罗斯,162148,1853,1273,945,0.79,1.715852
多米尼加,154692,1107,2361,-,1.53,
哥斯达黎加,150947,0,1895,495,1.26,3.049434
亚美尼亚,148682,357,2503,293,1.68,5.074471
玻利维亚,147150,120,9018,"1,121",6.13,1.312667
黎巴嫩,146520,1275,1200,609,0.82,2.405911
科威特,146218,0,912,419,0.62,3.48969
卡塔尔,140961,0,240,269,0.17,5.240186
斯洛伐克,133489,505,1205,544,0.90,2.453842
危地马拉,129282,0,4423,"1,724",3.42,0.749896
摩尔多瓦,126518,0,2572,404,2.03,3.131634
阿曼,126504,264,1472,482,1.16,2.624564
希腊,124534,692,3625,"1,114",2.91,1.117899
埃及,121575,486,6920,"9,937",5.69,0.122346
埃塞俄比亚,116769,472,1806,"10,667",1.55,0.109468
洪都拉斯,114359,316,2975,941,2.60,1.215292
突尼斯,111361,968,3894,"1,165",3.50,0.955888
巴勒斯坦,111102,1364,1000,505,0.90,2.20004
丹麦,110305,0,950,575,0.86,1.918348
缅甸,108342,0,2268,"5,385",2.09,0.201192
委内瑞拉,107786,609,954,"3,238",0.89,0.332878
波黑,101117,0,3336,350,3.30,2.889057
斯洛文尼亚,96745,431,2107,208,2.18,4.651202
中国,95150,118,4759,"140,005",5.00,0.006796
立陶宛,95021,1920,825,287,0.87,3.310836
巴拉圭,93582,669,1953,689,2.09,1.358229
阿尔及利亚,92102,464,2596,"4,200",2.82,0.21929
肯尼亚,91892,366,1587,"5,095",1.73,0.180357
利比亚,91357,578,1314,647,1.44,1.412009
巴林,89143,178,348,156,0.39,5.714295
马来西亚,84846,1371,419,"3,204",0.49,0.264813
吉尔吉斯斯坦,77674,318,1312,613,1.69,1.267113
爱尔兰,76185,429,2124,480,2.79,1.587187
乌兹别克斯坦,75094,138,612,"3,236",0.81,0.232058
北马其顿,73638,613,2121,-,2.88,
尼日利亚,73175,418,1197,"19,587",1.64,0.037359
新加坡,58325,5,29,579,0.05,1.00734
加纳,53014,81,327,"2,946",0.62,0.179952
阿富汗,48718,191,1969,"3,637",4.04,0.133951
阿尔巴尼亚,48530,788,1003,293,2.07,1.656314
韩国,43484,718,587,"5,116",1.35,0.084996
萨尔瓦多,41880,486,1205,641,2.88,0.653354
黑山,41426,478,582,62,1.40,6.681613
挪威,41003,200,387,535,0.94,0.766411
卢森堡,40755,0,392,59,0.96,6.907627
斯里兰卡,32790,140,152,"2,095",0.46,0.156516
芬兰,31110,300,461,554,1.48,0.561552
澳大利亚,28039,8,908,"2,477",3.24,0.113197
乌干达,27532,0,221,"4,427",0.80,0.062191
拉脱维亚,25885,210,352,192,1.36,1.348177
喀麦隆,25143,0,443,"2,467",1.76,0.101917
科特迪瓦,21680,41,133,"2,490",0.61,0.087068
苏丹,21386,239,1347,"4,151",6.30,0.05152
爱沙尼亚,18385,330,154,130,0.84,1.414231
赞比亚,18322,48,367,"1,760",2.00,0.104102
马达加斯加,17587,0,259,"2,626",1.47,0.066973
塞内加尔,17146,71,350,"1,629",2.04,0.105255
莫桑比克,16954,142,142,"3,052",0.84,0.05555
纳米比亚,16536,267,160,258,0.97,0.64093
安哥拉,16188,27,371,"3,077",2.29,0.05261
塞浦路斯,15101,301,78,118,0.52,1.279746
刚果（金）,14461,119,352,-,2.43,
几内亚,13431,11,79,"1,305",0.59,0.10292
马尔代夫,13368,20,48,44,0.36,3.038182
塔吉克斯坦,12704,0,88,910,0.69,0.139604
博茨瓦纳,12501,0,37,233,0.30,0.536524
牙买加,11710,0,273,289,2.33,0.40519
佛得角,11357,55,110,55,0.97,2.064909
马耳他,11254,101,174,43,1.55,2.617209
津巴布韦,11246,27,307,"1,691",2.73,0.066505
毛里塔尼亚,10971,191,225,-,2.05,
乌拉圭,9708,528,92,346,0.95,0.280578
海地,9491,0,233,"1,111",2.45,0.085428
古巴,9423,69,137,"1,148",1.45,0.082082
加蓬,9330,0,63,206,0.68,0.452913
伯利兹,9295,122,195,38,2.10,2.446053
叙利亚,9166,125,518,"1,828",5.65,0.050142
巴哈马,7674,15,163,39,2.12,1.967692
安道尔,7338,50,79,7,1.08,10.482857
特立尼达和多巴哥,6879,15,122,137,1.77,0.502117
斯威士兰,6768,54,127,139,1.88,0.486906
卢旺达,6659,131,56,"1,250",0.84,0.053272
马拉维,6066,3,187,"1,916",3.08,0.03166
刚果（布）,6049,0,99,-,1.64,
圭亚那,5920,41,155,78,2.62,0.758974
尼加拉瓜,5887,0,162,628,2.75,0.093742
马里,5814,93,194,"1,910",3.34,0.03044
吉布提,5728,3,61,97,1.06,0.590515
冰岛,5564,7,28,33,0.50,1.686061
苏里南,5353,13,117,56,2.19,0.955893
赤道几内亚,5185,0,85,131,1.64,0.395802
中非共和国,4936,0,63,473,1.28,0.104355
索马里,4579,0,121,"1,518",2.64,0.030165
泰国,4237,28,60,"6,918",1.42,0.006125
布基纳法索,4030,136,71,"1,975",1.76,0.020405
冈比亚,3782,3,123,216,3.25,0.175093
多哥,3251,30,66,799,2.03,0.040688
贝宁,3090,0,44,"1,148",1.42,0.026916
几内亚比绍,2444,0,44,190,1.80,0.128632
塞拉利昂,2440,0,75,771,3.07,0.031647
尼日尔,2258,59,80,"2,231",3.54,0.010121
莱索托,2250,0,44,226,1.96,0.099558
新西兰,2096,0,25,474,1.19,0.044219
也门,2083,0,606,"2,891",29.09,0.007205
圣马力诺,1932,0,51,3,2.64,6.44
乍得,1770,19,102,"1,535",5.76,0.011531
利比里亚,1676,0,83,485,4.95,0.034557
列支敦士登公国,1566,52,20,-,1.28,
越南,1402,5,35,"9,649",2.50,0.001453
蒙古,912,5,0,312,-,0.029231
布隆迪,729,1,1,"1,121",0.14,0.006503
巴布亚新几内亚,725,5,8,841,1.10,0.008621
钻石号邮轮,712,0,13,0.37,1.83,0.192432
厄立特里亚,711,0,0,518,-,0.013726
摩纳哥,668,0,3,3,0.45,2.226667
科摩罗,628,0,7,83,1.11,0.075663
毛里求斯,515,0,10,126,1.94,0.040873
坦桑尼亚,509,0,21,"5,909",4.13,0.000861
不丹,438,1,0,81,-,0.054074
柬埔寨,359,0,0,"1,624",-,0.002211
巴巴多斯,292,0,7,28,2.40,0.104286
圣卢西亚,275,1,4,-,1.45,
塞舌尔,187,0,0,9,-,0.207778
文莱,152,0,3,43,1.97,0.035349
安提瓜和巴布达,148,0,5,10,3.38,0.148
圣文森特和格林纳丁斯,98,4,0,11,-,0.089091
多米尼克,88,1,0,7,-,0.125714
格林纳达,69,26,0,10,-,0.069
斐济,46,2,2,91,4.35,0.005055
老挝,41,0,0,696,-,0.000589
马提尼克岛,37,0,1,-,2.70,
东帝汶,31,0,0,132,-,0.002348
圣基茨和尼维斯,27,0,0,5,-,0.054
梵蒂冈,27,0,0,-,-,
所罗门群岛,17,0,0,62,-,0.002742
马绍尔群岛,4,0,0,5,-,0.008
瓦努阿图,1,0,0,28,-,0.000357
全球,72791705,504012,1620280,758520,2.23,0.959654
