name,totalNum,newNum,deadNum,totalPopulation,deadRate,infecRate
美国,13919870,161568,274332,"32,676",1.97,4.259968
印度,9462809,31118,137621,"135,405",1.45,0.698852
巴西,6335878,21138,173120,"21,086",2.73,3.004779
俄罗斯,2302062,26126,40050,"14,396",1.74,1.599098
法国,2275016,4443,52819,"6,523",2.32,3.487684
西班牙,1664945,6659,45069,"4,639",2.71,3.589017
英国,1633734,12421,58545,"6,657",3.58,2.45416
意大利,1601554,16376,55576,"5,929",3.47,2.701221
阿根廷,1424533,5726,38730,"4,468",2.72,3.188301
哥伦比亚,1316806,8430,36766,"4,946",2.79,2.662366
墨西哥,1113543,6472,105940,"13,075",9.51,0.851658
德国,1076265,13247,16744,"8,229",1.56,1.307893
波兰,999924,9113,17599,"3,810",1.76,2.624472
伊朗,975951,13881,48628,"8,201",4.98,1.190039
秘鲁,962530,0,35923,"3,255",3.73,2.957081
南非,790004,2302,21535,"5,739",2.73,1.376553
乌克兰,765117,12774,12962,"4,400",1.69,1.738902
土耳其,638847,31219,13746,"8,191",2.15,0.779938
比利时,577345,746,16645,"1,149",2.88,5.024761
伊拉克,554767,2218,12306,"3,933",2.22,1.410544
智利,552864,1121,15430,"1,819",2.79,3.039384
印度尼西亚,543975,5092,17081,"26,679",3.14,0.203896
荷兰,535978,4074,9515,"1,708",1.78,3.138044
捷克,523298,3575,8295,-,1.59,
罗马尼亚,479634,4272,11530,"1,958",2.40,2.449612
孟加拉,467225,2293,6675,-,1.43,
菲律宾,432925,1295,8418,"10,651",1.94,0.406464
巴基斯坦,400482,2458,8091,"20,081",2.02,0.199433
加拿大,381557,7457,12147,"3,695",3.18,1.032631
沙特阿拉伯,357623,263,5907,"3,355",1.65,1.06594
摩洛哥,356336,2533,5846,"3,619",1.64,0.984626
以色列,337422,1262,2867,845,0.85,3.99316
瑞士,330874,3802,4893,854,1.48,3.874403
葡萄牙,298061,3262,4505,"1,029",1.51,2.896608
奥地利,282456,0,3184,875,1.13,3.228069
瑞典,260758,17629,6798,998,2.61,2.612806
尼泊尔,233452,0,1529,"2,962",0.65,0.788157
匈牙利,221073,3951,4977,968,2.25,2.283812
约旦,219430,0,2751,990,1.25,2.216465
厄瓜多尔,192685,568,13461,"1,686",6.99,1.142853
塞尔维亚,183437,7999,1652,876,0.90,2.09403
阿联酋,170149,1289,576,954,0.34,1.783532
巴拿马,165806,1077,3079,416,1.86,3.985721
日本,151688,2031,2122,"12,718",1.40,0.11927
日本本土,150976,2031,2109,"12,718",1.40,0.11871
保加利亚,145300,2814,4035,703,2.78,2.066856
玻利维亚,144708,86,8957,"1,121",6.19,1.290883
多米尼加,143988,515,2331,-,1.62,
科威特,142992,357,881,419,0.62,3.412697
哥斯达黎加,139638,2545,1726,495,1.24,2.82097
格鲁吉亚,139343,3759,1303,390,0.94,3.572897
卡塔尔,139001,353,238,269,0.17,5.167323
白俄罗斯,138219,3211,1166,945,0.84,1.462635
亚美尼亚,135967,843,2193,293,1.61,4.640512
哈萨克斯坦,132348,689,1990,"1,840",1.50,0.719283
克罗地亚,131342,2900,1861,416,1.42,3.15726
黎巴嫩,127944,1000,1018,609,0.80,2.100887
阿塞拜疆,125602,6385,1433,992,1.14,1.266149
阿曼,123908,209,1430,482,1.15,2.570705
危地马拉,122062,0,4171,"1,724",3.42,0.708016
埃及,115911,370,6650,"9,937",5.74,0.116646
埃塞俄比亚,110074,540,1706,"10,667",1.55,0.103191
洪都拉斯,108253,365,2918,941,2.70,1.150404
摩尔多瓦,107364,347,2304,404,2.15,2.657525
斯洛伐克,107183,1254,868,544,0.81,1.970276
希腊,105271,1044,2406,"1,114",2.29,0.944982
委内瑞拉,102394,354,897,"3,238",0.88,0.316226
突尼斯,96769,518,3260,"1,165",3.37,0.830635
中国,93664,117,4750,"140,005",5.07,0.00669
缅甸,92189,1476,1972,"5,385",2.14,0.171196
巴勒斯坦,88004,2357,747,505,0.85,1.742653
波黑,87901,0,2681,350,3.05,2.511457
巴林,86956,169,341,156,0.39,5.574103
肯尼亚,83618,302,1469,"5,095",1.76,0.164118
利比亚,83417,608,1196,647,1.43,1.289289
阿尔及利亚,83199,978,2431,"4,200",2.92,0.198093
丹麦,82470,1468,846,575,1.03,1.434261
巴拉圭,82424,518,1756,689,2.13,1.196284
斯洛文尼亚,77106,1300,1490,208,1.93,3.707019
吉尔吉斯斯坦,73178,371,1275,613,1.74,1.193768
乌兹别克斯坦,73145,225,610,"3,236",0.83,0.226035
爱尔兰,72544,303,2053,480,2.83,1.511333
尼日利亚,67557,145,1173,"19,587",1.74,0.034491
马来西亚,67169,1472,363,"3,204",0.54,0.209641
立陶宛,62515,1190,519,287,0.83,2.178223
北马其顿,61878,335,1763,-,2.85,
新加坡,58228,10,29,579,0.05,1.005665
加纳,51667,0,323,"2,946",0.63,0.17538
阿富汗,46717,219,1797,"3,637",3.85,0.128449
萨尔瓦多,39130,725,1120,641,2.86,0.610452
阿尔巴尼亚,38182,557,810,293,2.12,1.30314
挪威,36150,179,334,535,0.92,0.675701
黑山,35265,384,499,62,1.42,5.687903
卢森堡,34678,1269,321,59,0.93,5.877627
韩国,34652,451,526,"5,116",1.52,0.067733
澳大利亚,27912,8,908,"2,477",3.25,0.112685
芬兰,25462,550,399,554,1.57,0.459603
喀麦隆,24445,328,437,"2,467",1.79,0.099088
斯里兰卡,23987,325,118,"2,095",0.49,0.114496
科特迪瓦,21331,21,132,"2,490",0.62,0.085667
乌干达,20459,314,205,"4,427",1.00,0.046214
苏丹,17810,406,1249,"4,151",7.01,0.042905
拉脱维亚,17687,612,210,192,1.19,0.921198
赞比亚,17665,18,357,"1,760",2.02,0.100369
马达加斯加,17341,0,251,"2,626",1.45,0.066036
塞内加尔,16107,18,333,"1,629",2.07,0.098877
莫桑比克,15701,88,131,"3,052",0.83,0.051445
安哥拉,15139,36,348,"3,077",2.30,0.049201
纳米比亚,14380,35,151,258,1.05,0.557364
几内亚,13119,22,76,"1,305",0.58,0.100529
马尔代夫,13011,17,46,44,0.35,2.957045
刚果（金）,12772,70,333,-,2.61,
爱沙尼亚,12497,189,121,130,0.97,0.961308
塔吉克斯坦,12194,39,86,910,0.71,0.134
牙买加,10763,0,257,289,2.39,0.372422
佛得角,10761,14,105,55,0.98,1.956545
博茨瓦纳,10742,484,34,233,0.32,0.46103
塞浦路斯,10565,182,49,118,0.46,0.895339
津巴布韦,10034,84,277,"1,691",2.76,0.059338
马耳他,9975,102,141,43,1.41,2.319767
海地,9294,22,233,"1,111",2.51,0.083654
加蓬,9214,23,60,206,0.65,0.447282
毛里塔尼亚,8601,54,177,-,2.06,
古巴,8284,51,135,"1,148",1.63,0.07216
叙利亚,7887,90,417,"1,828",5.29,0.043146
巴哈马,7541,24,163,39,2.16,1.93359
安道尔,6745,33,76,7,1.13,9.635714
特立尼达和多巴哥,6669,9,120,137,1.80,0.486788
斯威士兰,6419,9,122,139,1.90,0.461799
马拉维,6028,3,185,"1,916",3.07,0.031461
卢旺达,5934,15,49,"1,250",0.83,0.047472
乌拉圭,5857,141,77,346,1.31,0.169277
伯利兹,5854,111,148,38,2.53,1.540526
尼加拉瓜,5784,0,160,628,2.77,0.092102
