name,totalNum,newNum,deadNum,totalPopulation,deadRate,infecRate
美国,15369046,198792,290443,"32,676",1.89,4.703466
印度,9703770,26567,140958,"135,405",1.45,0.716648
巴西,6623911,20371,177317,"21,086",2.68,3.141379
俄罗斯,2492713,25752,43674,"14,396",1.75,1.731532
法国,2349059,3411,55613,"6,523",2.37,3.601194
意大利,1742557,13679,60606,"5,929",3.48,2.93904
英国,1742528,14773,61531,"6,657",3.53,2.617588
西班牙,1715700,6255,46646,"4,639",2.72,3.698426
阿根廷,1466309,3199,39888,"4,468",2.72,3.281802
哥伦比亚,1377100,5997,37995,"4,946",2.76,2.78427
德国,1206226,11676,19471,"8,229",1.61,1.465823
墨西哥,1182249,6399,110074,"13,075",9.31,0.904206
波兰,1076180,8310,20592,"3,810",1.91,2.824619
伊朗,1062397,11023,50917,"8,201",4.79,1.295448
秘鲁,973912,0,36274,"3,255",3.72,2.992049
土耳其,860432,32137,15103,"8,191",1.76,1.05046
乌克兰,855054,11156,14413,"4,400",1.69,1.943305
南非,817878,3313,22249,"5,739",2.72,1.425123
比利时,592615,859,17386,"1,149",2.93,5.157659
印度尼西亚,586842,5292,18000,"26,679",3.07,0.219964
荷兰,573755,58,9786,"1,708",1.71,3.359221
伊拉克,566015,0,12460,"3,933",2.20,1.439143
智利,562142,1760,15663,"1,819",2.79,3.09039
捷克,551070,4237,9036,-,1.64,
罗马尼亚,524675,7439,12660,"1,958",2.41,2.679648
孟加拉,481945,2202,6906,-,1.43,
菲律宾,442785,1386,8670,"10,651",1.96,0.415722
加拿大,426572,7658,12796,"3,695",3.00,1.154457
巴基斯坦,423179,2885,8487,"20,081",2.01,0.210736
摩洛哥,381188,1531,6320,"3,619",1.66,1.053296
沙特阿拉伯,359115,193,5989,"3,355",1.67,1.070387
瑞士,358568,4262,5541,854,1.55,4.198689
以色列,347497,1836,2925,845,0.84,4.112391
葡萄牙,325071,0,5041,"1,029",1.55,3.159096
奥地利,308070,2377,4002,875,1.30,3.5208
瑞典,297732,18820,7200,998,2.42,2.983287
匈牙利,256367,2219,6120,968,2.39,2.648419
约旦,244069,0,3116,990,1.28,2.465343
尼泊尔,243377,1382,1637,"2,962",0.67,0.821664
塞尔维亚,226209,0,2005,876,0.89,2.582295
厄瓜多尔,198244,246,13780,"1,686",6.95,1.175824
哈萨克斯坦,180777,688,2544,"1,840",1.41,0.982484
巴拿马,179230,1511,3212,416,1.79,4.308413
阿联酋,178837,1260,596,954,0.33,1.874602
格鲁吉亚,169649,4673,1576,390,0.93,4.349974
日本,167257,2144,2347,"12,718",1.40,0.131512
日本本土,166545,2144,2334,"12,718",1.40,0.130952
保加利亚,164185,2764,5010,703,3.05,2.335491
克罗地亚,154852,2613,2298,416,1.48,3.722404
阿塞拜疆,154152,4387,1713,992,1.11,1.553952
白俄罗斯,150602,1649,1222,945,0.81,1.593672
多米尼加,149138,685,2346,-,1.57,
哥斯达黎加,146421,2736,1825,495,1.25,2.958
玻利维亚,145657,97,8997,"1,121",6.18,1.299349
科威特,144900,301,900,419,0.62,3.458234
亚美尼亚,142928,584,2372,293,1.66,4.878089
卡塔尔,140203,295,239,269,0.17,5.212007
黎巴嫩,138096,984,1115,609,0.81,2.267586
危地马拉,125674,0,4274,"1,724",3.40,0.728968
阿曼,125325,210,1454,482,1.16,2.600104
斯洛伐克,119232,1949,1046,544,0.88,2.191765
埃及,118847,415,6790,"9,937",5.71,0.1196
摩尔多瓦,117495,1130,2438,404,2.07,2.908292
希腊,116721,1250,3092,"1,114",2.65,1.047765
埃塞俄比亚,113735,440,1755,"10,667",1.54,0.106623
洪都拉斯,111023,0,2946,941,2.65,1.179841
委内瑞拉,104904,462,924,"3,238",0.88,0.323978
突尼斯,104329,327,3596,"1,165",3.45,0.895528
巴勒斯坦,101109,1351,867,505,0.86,2.002158
缅甸,100431,0,2132,"5,385",2.12,0.186501
波黑,96021,1077,3081,350,3.21,2.743457
中国,94489,96,4753,"140,005",5.03,0.006749
丹麦,93177,0,894,575,0.96,1.62047
阿尔及利亚,88825,573,2527,"4,200",2.84,0.211488
巴拉圭,88723,803,1872,689,2.11,1.287707
肯尼亚,88579,199,1531,"5,095",1.73,0.173855
巴林,88111,181,341,156,0.39,5.648141
利比亚,87986,889,1255,647,1.43,1.359907
斯洛文尼亚,87915,1630,1862,208,2.12,4.226683
立陶宛,77426,1390,673,287,0.87,2.69777
吉尔吉斯斯坦,75690,295,1301,613,1.72,1.234747
马来西亚,75306,1012,388,"3,204",0.52,0.235037
爱尔兰,74468,222,2099,480,2.82,1.551417
乌兹别克斯坦,74206,153,611,"3,236",0.82,0.229314
