name,totalNum,newNum,deadNum,totalPopulation,deadRate,infecRate
美国,14535196,218576,282829,"32,676",1.95,4.448279
印度,9571559,36595,139188,"135,405",1.45,0.706884
巴西,6487084,50434,175270,"21,086",2.70,3.076489
俄罗斯,2382012,27078,41730,"14,396",1.75,1.654635
法国,2310271,34594,54231,"6,523",2.35,3.541731
西班牙,1693591,6104,46038,"4,639",2.72,3.650767
英国,1678423,14952,60210,"6,657",3.59,2.52129
意大利,1664829,23219,58038,"5,929",3.49,2.807942
阿根廷,1447732,7629,39305,"4,468",2.71,3.240224
哥伦比亚,1343322,9233,37305,"4,946",2.78,2.715977
德国,1145645,27491,18135,"8,229",1.58,1.392204
墨西哥,1144643,11030,108173,"13,075",9.45,0.875444
波兰,1041846,13236,19359,"3,810",1.86,2.734504
伊朗,1016835,13341,49695,"8,201",4.89,1.239891
秘鲁,967075,3470,36076,"3,255",3.73,2.971045
乌克兰,808828,15456,13641,"4,400",1.69,1.838245
南非,800872,4400,21803,"5,739",2.72,1.395491
土耳其,733261,32381,14316,"8,191",1.95,0.895203
比利时,584857,2605,17033,"1,149",2.91,5.090139
印度尼西亚,563680,5803,17479,"26,679",3.10,0.211282
伊拉克,560622,1855,12387,"3,933",2.21,1.425431
智利,557135,3237,15558,"1,819",2.79,3.062864
荷兰,552856,5990,9703,"1,708",1.76,3.236862
捷克,537663,4621,8641,-,1.61,
罗马尼亚,500273,8062,12052,"1,958",2.41,2.55502
孟加拉,473991,2252,6772,-,1.43,
菲律宾,436345,932,8509,"10,651",1.95,0.409675
巴基斯坦,410072,3262,8260,"20,081",2.01,0.204209
加拿大,399770,5748,12423,"3,695",3.11,1.081922
摩洛哥,368624,4434,6063,"3,619",1.64,1.01858
沙特阿拉伯,358336,234,5940,"3,355",1.66,1.068066
瑞士,344497,4382,5243,854,1.52,4.033923
以色列,341760,1336,2896,845,0.85,4.044497
葡萄牙,307618,3772,4724,"1,029",1.54,2.989485
奥地利,297245,3815,3651,875,1.23,3.397086
瑞典,278912,6269,7067,998,2.53,2.794709
尼泊尔,238861,1272,1567,"2,962",0.66,0.806418
匈牙利,238056,6212,5513,968,2.32,2.459256
约旦,231237,4029,2909,990,1.26,2.335727
塞尔维亚,206940,7782,1834,876,0.89,2.362329
厄瓜多尔,195884,1008,13612,"1,686",6.95,1.161827
哈萨克斯坦,177386,1044,2482,"1,840",1.40,0.964054
阿联酋,174062,1311,586,954,0.34,1.824549
巴拿马,171219,1880,3141,416,1.83,4.115841
日本,159085,2445,2223,"12,718",1.40,0.125086
日本本土,158373,2445,2210,"12,718",1.40,0.124527
保加利亚,155193,3280,4503,703,2.90,2.207582
格鲁吉亚,152704,5068,1425,390,0.93,3.915487
多米尼加,146009,812,2335,-,1.60,
