name,total,new,deadNum,infecRate,deadRate
安道尔,6745,33,76,"9,635",1.13
特立尼达和多巴哥,6669,9,120,486,1.80
斯威士兰,6419,9,122,461,1.90
马拉维,6028,3,185,31,3.07
卢旺达,5934,15,49,47,0.83
乌拉圭,5857,141,77,169,1.31
伯利兹,5854,111,148,"1,540",2.53
尼加拉瓜,5784,0,160,92,2.77
刚果（布）,5774,0,94,-,1.63
吉布提,5679,0,61,585,1.07
冰岛,5413,21,27,"1,640",0.50
圭亚那,5406,30,151,693,2.79
苏里南,5312,0,117,948,2.20
赤道几内亚,5153,0,85,393,1.65
中非共和国,4913,0,63,103,1.28
马里,4710,22,156,24,3.31
索马里,4451,0,113,29,2.54
泰国,4008,10,60,5.8,1.50
冈比亚,3742,8,123,173,3.29
贝宁,3015,0,43,26,1.43
多哥,2974,12,64,37,2.15
布基纳法索,2886,30,68,14,2.36
几内亚比绍,2441,19,44,128,1.80
塞拉利昂,2412,1,74,31,3.07
也门,2191,14,619,7.6,28.25
莱索托,2137,28,44,94,2.06
新西兰,2059,3,25,43,1.21
乍得,1688,6,101,10,5.98
圣马力诺,1612,0,46,"5,373",2.85
利比里亚,1595,0,83,32,5.20
尼日尔,1548,32,72,6.9,4.65
越南,1351,5,35,1.4,2.59
列支敦士登公国,1270,17,16,-,1.26
蒙古,801,10,0,25,-
钻石号邮轮,712,0,13,-,1.83
布隆迪,688,7,1,6.1,0.15
巴布亚新几内亚,656,10,7,7.8,1.07
科摩罗,611,0,7,73,1.15
摩纳哥,609,1,3,"2,030",0.49
厄立特里亚,577,0,0,11,-
坦桑尼亚,509,0,21,0.86,4.13
毛里求斯,504,3,10,40,1.98
不丹,410,14,0,50,-
柬埔寨,326,3,0,2.0,-
巴巴多斯,276,1,7,98,2.54
圣卢西亚,259,2,2,-,0.77
塞舌尔,183,10,0,203,-
文莱,151,1,3,35,1.99
安提瓜和巴布达,141,0,4,141,2.84
圣文森特和格林纳丁斯,85,0,0,77,-
多米尼克,85,0,0,121,-
斐济,42,0,2,4.6,4.76
格林纳达,41,0,0,41,-
老挝,39,0,0,0.56,-
马提尼克岛,37,0,1,-,2.70
东帝汶,30,0,0,2.3,-
梵蒂冈,27,0,0,-,-
圣基茨和尼维斯,22,0,0,44,-
所罗门群岛,17,0,0,2.7,-
马绍尔群岛,4,0,0,8.0,-
瓦努阿图,1,0,0,0.36,-
