name,totalNum,newNum,deadNum,totalPopulation,deadRate,infecRate
美国,15159529,173861,288906,"32,676",1.91,4.639347
印度,9677203,32981,140573,"135,405",1.45,0.714686
巴西,6603540,26363,176941,"21,086",2.68,3.131718
俄罗斯,2466961,27798,43122,"14,396",1.75,1.713643
法国,2345648,11022,55247,"6,523",2.36,3.595965
意大利,1728878,18887,60078,"5,929",3.47,2.915969
英国,1727755,17371,61342,"6,657",3.55,2.595396
西班牙,1699145,5554,46252,"4,639",2.72,3.66274
阿根廷,1463110,3278,39770,"4,468",2.72,3.274642
哥伦比亚,1371103,8854,37808,"4,946",2.76,2.772145
德国,1194550,10910,19002,"8,229",1.59,1.451634
墨西哥,1175850,7455,109717,"13,075",9.33,0.899312
波兰,1067870,4421,20181,"3,810",1.89,2.802808
伊朗,1051374,10827,50594,"8,201",4.81,1.282007
秘鲁,973912,1224,36274,"3,255",3.72,2.992049
乌克兰,843898,8985,14208,"4,400",1.68,1.91795
土耳其,828295,30402,14900,"8,191",1.80,1.011226
南非,814565,4116,22206,"5,739",2.73,1.41935
比利时,591756,1814,17320,"1,149",2.93,5.150183
印度尼西亚,581550,5754,17867,"26,679",3.07,0.21798
荷兰,573697,7202,9785,"1,708",1.71,3.358882
伊拉克,566015,1815,12460,"3,933",2.20,1.439143
智利,560382,0,15628,"1,819",2.79,3.080715
捷克,546833,1109,8902,-,1.63,
罗马尼亚,517236,3660,12447,"1,958",2.41,2.641655
孟加拉,479743,2198,6874,-,1.43,
菲律宾,441399,1565,8572,"10,651",1.94,0.41442
巴基斯坦,420294,3795,8398,"20,081",2.00,0.209299
加拿大,418914,6371,12688,"3,695",3.03,1.133732
摩洛哥,379657,2919,6245,"3,619",1.64,1.049066
沙特阿拉伯,358922,209,5977,"3,355",1.67,1.069812
瑞士,354306,9809,5422,854,1.53,4.148782
以色列,345661,1433,2917,845,0.84,4.090663
葡萄牙,325071,2597,5041,"1,029",1.55,3.159096
奥地利,305693,2263,3897,875,1.27,3.493634
瑞典,278912,0,7067,998,2.53,2.794709
匈牙利,254148,3870,5984,968,2.35,2.625496
约旦,244069,6556,3116,990,1.28,2.465343
尼泊尔,241995,1014,1614,"2,962",0.67,0.816999
塞尔维亚,226209,6557,2005,876,0.89,2.582295
厄瓜多尔,197998,607,13778,"1,686",6.96,1.174365
哈萨克斯坦,180089,745,2488,"1,840",1.38,0.978745
巴拿马,177719,1812,3193,416,1.80,4.272091
阿联酋,177577,1148,594,954,0.33,1.861394
日本,165113,1506,2311,"12,718",1.40,0.129826
格鲁吉亚,164976,2501,1540,390,0.93,4.230154
日本本土,164401,1506,2298,"12,718",1.40,0.129266
保加利亚,161421,577,4797,703,2.97,2.296174
克罗地亚,152239,1886,2233,416,1.47,3.659591
阿塞拜疆,149765,3086,1675,992,1.12,1.509728
白俄罗斯,148953,1796,1215,945,0.82,1.576222
多米尼加,148453,798,2345,-,1.58,
玻利维亚,145560,68,8995,"1,121",6.18,1.298483
科威特,144599,230,897,419,0.62,3.45105
哥斯达黎加,143685,0,1773,495,1.23,2.902727
亚美尼亚,142344,407,2344,293,1.65,4.858157
卡塔尔,139908,0,239,269,0.17,5.201041
黎巴嫩,137112,1236,1099,609,0.80,2.251429
危地马拉,125674,124,4274,"1,724",3.40,0.728968
阿曼,125115,229,1452,482,1.16,2.595747
埃及,118432,418,6771,"9,937",5.72,0.119183
斯洛伐克,117283,552,1018,544,0.87,2.155937
摩尔多瓦,116365,808,2419,404,2.08,2.880322
希腊,115471,903,3003,"1,114",2.60,1.036544
埃塞俄比亚,113295,555,1747,"10,667",1.54,0.106211
洪都拉斯,111023,1063,2946,941,2.65,1.179841
委内瑞拉,104442,265,919,"3,238",0.88,0.322551
突尼斯,104002,1011,3561,"1,165",3.42,0.892721
缅甸,100431,1276,2132,"5,385",2.12,0.186501
