name,totalNum,newNum,deadNum,totalPopulation,deadRate,infecRate
巴勒斯坦,99758,1720,848,505,0.85,1.975406
波黑,94944,437,3012,350,3.17,2.712686
中国,94373,135,4753,"140,005",5.04,0.006741
丹麦,93177,2046,894,575,0.96,1.62047
肯尼亚,88380,396,1526,"5,095",1.73,0.173464
阿尔及利亚,88252,750,2516,"4,200",2.85,0.210124
巴林,87930,198,341,156,0.39,5.636538
巴拉圭,87920,707,1853,689,2.11,1.276052
利比亚,87097,517,1243,647,1.43,1.346167
斯洛文尼亚,86285,480,1796,208,2.08,4.148317
立陶宛,76036,1387,637,287,0.84,2.649338
吉尔吉斯斯坦,75395,422,1297,613,1.72,1.229935
马来西亚,74294,1600,384,"3,204",0.52,0.231879
爱尔兰,74246,298,2099,480,2.83,1.546792
乌兹别克斯坦,74053,149,611,"3,236",0.83,0.228841
尼日利亚,69255,318,1180,"19,587",1.70,0.035358
北马其顿,67968,657,1924,-,2.83,
新加坡,58273,13,29,579,0.05,1.006442
加纳,52274,76,325,"2,946",0.62,0.177441
阿富汗,47516,210,1900,"3,637",4.00,0.130646
阿尔巴尼亚,42988,840,905,293,2.11,1.467167
萨尔瓦多,40131,0,1164,641,2.90,0.626069
挪威,38540,340,359,535,0.93,0.720374
黑山,38246,367,533,62,1.39,6.16871
韩国,38161,615,549,"5,116",1.44,0.074591
卢森堡,37017,0,345,59,0.93,6.274068
斯里兰卡,28203,613,140,"2,095",0.50,0.134621
澳大利亚,27972,7,908,"2,477",3.25,0.112927
芬兰,27881,250,424,554,1.52,0.503267
喀麦隆,24752,0,443,"2,467",1.79,0.100332
乌干达,22499,311,206,"4,427",0.92,0.050822
拉脱维亚,21520,207,272,192,1.26,1.120833
科特迪瓦,21485,44,132,"2,490",0.61,0.086285
苏丹,19468,272,1295,"4,151",6.65,0.0469
赞比亚,17931,15,364,"1,760",2.03,0.101881
马达加斯加,17513,0,255,"2,626",1.46,0.066691
塞内加尔,16553,76,340,"1,629",2.05,0.101614
莫桑比克,16244,111,133,"3,052",0.82,0.053224
安哥拉,15591,55,354,"3,077",2.27,0.050669
爱沙尼亚,15226,248,134,130,0.88,1.171231
纳米比亚,15078,128,152,258,1.01,0.584419
刚果（金）,13527,114,344,-,2.54,
几内亚,13233,0,76,"1,305",0.57,0.101402
马尔代夫,13198,39,47,44,0.36,2.999545
塔吉克斯坦,12469,41,87,910,0.70,0.137022
塞浦路斯,12451,270,61,118,0.49,1.055169
博茨瓦纳,11531,0,34,233,0.29,0.494893
牙买加,11184,121,265,289,2.37,0.38699
佛得角,11063,27,109,55,0.99,2.011455
津巴布韦,10718,101,291,"1,691",2.72,0.063383
马耳他,10659,139,155,43,1.45,2.478837
毛里塔尼亚,9516,157,188,-,1.98,
海地,9370,0,233,"1,111",2.49,0.084338
加蓬,9254,0,60,206,0.65,0.449223
古巴,8782,68,136,"1,148",1.55,0.076498
叙利亚,8403,83,447,"1,828",5.32,0.045968
伯利兹,7769,168,173,38,2.23,2.044474
巴哈马,7570,0,163,39,2.15,1.941026
乌拉圭,7303,338,82,346,1.12,0.211069
安道尔,7050,45,78,7,1.11,10.071429
特立尼达和多巴哥,6767,16,122,137,1.80,0.493942
斯威士兰,6501,6,122,139,1.88,0.467698
卢旺达,6129,45,51,"1,250",0.83,0.049032
马拉维,6051,2,185,"1,916",3.06,0.031581
尼加拉瓜,5838,0,161,628,2.76,0.092962
刚果（布）,5774,0,94,-,1.63,
吉布提,5701,0,61,97,1.07,0.587732
圭亚那,5665,28,153,78,2.70,0.726282
冰岛,5496,14,27,33,0.49,1.665455
苏里南,5324,0,117,56,2.20,0.950714
赤道几内亚,5166,7,85,131,1.65,0.394351
马里,5135,73,164,"1,910",3.19,0.026885
中非共和国,4922,0,63,473,1.28,0.104059
索马里,4525,0,121,"1,518",2.67,0.029809
泰国,4107,21,60,"6,918",1.46,0.005937
冈比亚,3770,0,123,216,3.26,0.174537
布基纳法索,3212,56,68,"1,975",2.12,0.016263
多哥,3095,10,65,799,2.10,0.038736
贝宁,3073,18,44,"1,148",1.43,0.026768
几内亚比绍,2441,0,44,190,1.80,0.128474
塞拉利昂,2426,6,74,771,3.05,0.031466
也门,2383,46,649,"2,891",27.23,0.008243
莱索托,2150,0,44,226,2.05,0.095133
新西兰,2079,1,25,474,1.20,0.043861
尼日尔,1856,67,77,"2,231",4.15,0.008319
圣马力诺,1800,11,48,3,2.67,6.0
乍得,1725,3,102,"1,535",5.91,0.011238
利比里亚,1676,0,83,485,4.95,0.034557
列支敦士登公国,1397,1,19,-,1.36,
越南,1367,1,35,"9,649",2.56,0.001417
蒙古,887,38,0,312,-,0.028429
钻石号邮轮,712,0,13,0.37,1.83,0.192432
布隆迪,694,0,1,"1,121",0.14,0.006191
巴布亚新几内亚,671,0,7,841,1.04,0.007979
摩纳哥,638,1,3,3,0.47,2.126667
厄立特里亚,632,0,0,518,-,0.012201
科摩罗,616,0,7,83,1.14,0.074217
坦桑尼亚,509,0,21,"5,909",4.13,0.000861
毛里求斯,508,0,10,126,1.97,0.040317
不丹,430,4,0,81,-,0.053086
柬埔寨,348,2,0,"1,624",-,0.002143
巴巴多斯,285,0,7,28,2.46,0.101786
圣卢西亚,265,0,2,-,0.75,
塞舌尔,184,0,0,9,-,0.204444
文莱,151,0,3,43,1.99,0.035116
安提瓜和巴布达,146,2,4,10,2.74,0.146
圣文森特和格林纳丁斯,87,0,0,11,-,0.079091
多米尼克,85,0,0,7,-,0.121429
斐济,44,0,2,91,4.55,0.004835
格林纳达,43,2,0,10,-,0.043
老挝,41,2,0,696,-,0.000589
马提尼克岛,37,0,1,-,2.70,
东帝汶,31,0,0,132,-,0.002348
梵蒂冈,27,0,0,-,-,
圣基茨和尼维斯,25,0,0,5,-,0.05
所罗门群岛,17,0,0,62,-,0.002742
马绍尔群岛,4,0,0,5,-,0.008
瓦努阿图,1,0,0,28,-,0.000357
全球,67554806,498006,1543471,758520,2.28,0.890613
